ra,dec,mu_0,m_tot,r_e,n,ell,g-i,g-r,A_g,A_r,A_i
242.996851558,44.4854806441,19.4655418212,22.3546550134,7.4506824,4.74462,0.514685,0.0437831044711,0.205950536668,0.0424962966241,0.0301141402925,0.0214913222952
244.98966888,44.5339455453,24.8199073604,21.5773149257,7.0052304,1.41311,0.646123,0.515348656944,0.308816812536,0.0244253169341,0.0173085063705,0.0123524259781
245.217990077,43.948452971,17.4912780237,22.6396809647,3.4021512,5.0,0.528039,0.501821075809,0.102171626124,0.038712634508,0.0274329247318,0.0195778402167
247.279076601,43.6724212233,25.1250070518,20.9823347439,7.628124,0.989983,0.65561,1.23074800678,0.906291132786,0.0216498377461,0.0153417192318,0.0109488044278
247.835475968,43.7357202931,23.6303413288,22.11120553,3.5302512,2.02974,0.173705,0.789099436568,0.454911170957,0.0211945696667,0.0150191027239,0.0107185652351
245.569784811,43.683016,17.1428576438,20.6674903681,8.6225496,5.0,0.672169,1.02657366954,0.715723141628,0.0411673793201,0.0291724299482,0.0208192592603
244.269390649,43.9501614733,23.0074398481,22.0790671806,2.5594968,1.95188,0.204765,0.594331415025,0.329755839769,0.0439238871451,0.0311257734146,0.0222132865705
241.25152985,44.5333584417,23.838314588,21.3705870763,5.3014416,1.89555,0.306891,0.988829154492,0.64707982401,0.0352268863702,0.0249628198806,0.0178150198624
237.94879322,44.1737642296,24.4165527263,20.5509399945,5.5432944,1.10049,0.398736,0.96846056542,0.552941944857,0.0544768323127,0.0386039043701,0.0275501456329
237.524613007,43.8005956465,24.5720978296,21.3467943774,5.125764,1.21959,0.527586,1.13716057334,0.710886184226,0.0502396543832,0.0356013140092,0.0254073105216
247.847143997,43.2170634659,21.2451010237,22.4980326326,2.9695344,3.05925,0.413965,0.765568729562,0.308327032658,0.0180914909606,0.0128201688186,0.00914926932278
248.770967725,43.1666864295,26.4343035945,21.499373014,6.6101448,0.361382,0.592665,1.18364442077,0.707959750057,0.0289070414919,0.0204843897489,0.0146189337579
245.897574594,43.2918896735,25.2473682338,21.9072960817,4.231752,0.959346,0.490413,1.20123208053,0.820455810742,0.0363446019749,0.0257548664165,0.0183802735011
248.78385768,43.0623038657,24.9864201987,21.7432628107,4.0728744,0.701463,0.656229,1.37145624204,1.04082203961,0.0269931719037,0.0191281648102,0.0136510473438
245.63137152,43.4497833133,25.3786666937,22.0172552553,4.8576192,0.872194,0.654579,1.32636154832,0.587264975826,0.0389875922273,0.0276277679532,0.0197168924503
246.742097756,43.4731377639,26.5123510041,21.2531603461,5.7101688,0.27841,0.318036,0.751331853525,0.759721858872,0.0269867472076,0.0191236120794,0.0136477982321
246.741390964,43.4731041731,25.6733004434,21.7274902778,4.6178832,0.819986,0.394204,0.797403974662,0.779277652407,0.0269878003855,0.0191243583926,0.0136483308476
245.779970154,42.6474982207,25.0257145825,22.3841587949,2.807028,1.27048,0.0,0.361126603952,0.246606318271,0.0309209739279,0.0219115221989,0.0156374241795
244.777232902,41.9537926701,23.8409952733,19.9727705092,4.067784,0.697193,0.390761,1.03500956838,0.709195867529,0.0240839025494,0.0170665699786,0.0121797651309
243.807570651,42.5363169184,26.2092460043,21.7591115313,6.0029928,0.691528,0.525651,0.607359390966,0.483532710086,0.0423963162105,0.0300432911965,0.0214407599766
244.375111339,43.274294796,25.9714751187,21.8256474633,5.1033192,0.914479,0.312906,0.635542047159,0.357366144518,0.0475525886756,0.0336971792935,0.0240484016346
244.232650226,43.3606736956,24.665726351,19.5614971192,5.0149512,0.264691,0.241815,1.2157911113,0.882984038541,0.0455324825242,0.032265671965,0.0230267890279
243.367044867,43.4698478147,19.9189275507,18.6108362101,8.6361408,2.82985,0.519093,1.12798479976,0.550861783271,0.0359421880998,0.0254697039705,0.018176763855
244.93631495,42.1502902613,25.0813156423,20.7698298672,5.0716176,0.494216,0.548212,0.698264255597,0.169376146579,0.0361548123906,0.0256203758697,0.0182842926875
240.88175675,43.3534648605,25.3228132884,22.46776802,3.6982344,1.28232,0.284922,0.66302768252,0.445749665355,0.0359638118428,0.0254850271982,0.0181876994627
240.998600393,43.4407280336,25.2053818398,22.2590757838,4.1450976,1.05225,0.572831,0.68758517544,0.522081553945,0.0393655353549,0.0278955896994,0.0199080266951
240.335232437,42.9023435023,18.1132166675,23.23786796,2.8834008,4.96708,0.369173,0.472495398944,0.204868419197,0.0363421320734,0.0257531161708,0.018379024417
240.314652036,42.9451757295,26.3287585088,21.8332422241,6.054888,0.63622,0.549388,0.920055071258,0.547335326141,0.0406260563259,0.028788832367,0.0205455001834
240.363721528,43.0522655987,26.3637359447,21.9165671257,6.3284592,0.634114,0.60659,0.825592469004,0.566516131512,0.0480398646039,0.0340424775155,0.0242948279083
241.127063645,42.0137667519,23.6900904238,21.4692745486,5.8104312,2.10297,0.337249,0.5925078053,0.423963371773,0.0332127000419,0.023535507515,0.0167964010419
236.888131311,43.0763866297,22.2122274431,19.2154602887,3.7223424,1.29822,0.174392,0.405691370974,0.305134244985,0.072398062342,0.0513034212266,0.0366133102163
237.056059137,42.939749089,19.221126416,21.9243906426,2.7917904,3.45056,0.640164,0.672197303459,0.314856322182,0.0679629457751,0.0481605656575,0.034370373134
237.233309597,42.4356354275,23.8542739794,21.8989504123,5.4317256,2.004,0.501577,0.80895040171,0.687334829521,0.060707652624,0.0430192490447,0.0307012100341
237.561478695,41.9401653514,23.3242326937,20.312246244,6.134184,1.82198,0.248498,0.865338979111,0.532936856904,0.0510934231773,0.0362063199812,0.0258390803882
236.258676874,42.4994071727,23.5877869395,20.9457930244,7.9267272,1.85939,0.658319,0.65459227903,0.155688566127,0.0760657139925,0.0539024283195,0.0384681232223
236.523277463,43.4819494392,26.7481679768,22.2857609476,4.1019888,0.113566,0.420075,0.635320834753,0.404126168253,0.0526829744794,0.037332723332,0.0266429518323
236.151567364,42.3545329522,26.8000257791,21.6182853244,4.993296,0.277825,0.169964,0.872913192993,0.896018019595,0.075599863855,0.0535723130504,0.0382325324476
335.419600524,2.77030231339,22.0538647124,19.5465625118,8.1353664,2.4121,0.234593,0.755835407392,0.604183629153,0.200309778633,0.141945469486,0.101301109825
335.660728589,2.75442981243,23.253232055,20.5973587972,4.8325704,1.68535,0.311727,0.934434782271,0.385224047038,0.199069803405,0.141066786143,0.100674026776
334.315615561,2.77496920331,23.0624078041,19.5809965624,2.8035504,0.747101,0.0361082,0.43789837201,0.390234713249,0.169527743852,0.120132403701,0.0857339502623
334.69218576,2.77090510202,26.2091964771,20.6997442337,6.6918432,0.32074,0.351241,0.173587817,0.439355393055,0.244616488216,0.173342522271,0.123707998216
343.110376132,1.80038421215,22.5953949361,19.7674290276,3.1245648,1.0934,0.28045,0.529447945432,0.318603180327,0.235248195728,0.166703871455,0.11897024436
343.028165789,2.24624924831,22.693622047,21.7550523926,3.388896,2.39033,0.0,0.757118939859,0.650937296619,0.403260635075,0.285762485294,0.203937871434
342.76419132,2.56307456837,22.5061393867,20.91070197,4.7378016,2.37427,0.0897688,0.82841628485,0.422065674461,0.265420176689,0.18808463495,0.134228886139
342.364071367,2.11422217658,24.8732798381,21.8374323555,5.2087224,1.10625,0.679948,1.10882672085,0.64669130049,0.171197565216,0.121315688806,0.0865784160619
342.514320982,1.73028613227,25.7486924549,22.2454309883,3.9888576,0.508593,0.646951,1.12427718662,0.485108248833,0.189291742501,0.134137761234,0.0957290439185
342.495642745,1.76062278577,26.58087209,20.6969746404,9.2320032,0.657898,0.282907,0.385562110709,0.428320045427,0.185280655519,0.131295385646,0.0937005480277
341.3655367,2.32382009155,25.1455634567,20.7051665609,4.4846256,0.345648,0.447478,0.927866379445,0.609064349913,0.245929796454,0.174273171567,0.124372167399
341.386263514,2.08561115354,21.7353610204,20.2800066216,2.9933568,1.48838,0.575868,0.585523855813,0.407810278757,0.236094841789,0.167303830046,0.119398412102
341.455177983,1.59145059761,25.7768443802,21.6580466308,6.0983664,0.624685,0.690858,0.9930533431,0.807008493339,0.242154555683,0.171597923622,0.122462944183
341.442663846,1.75901127686,21.0087375109,18.7276870192,5.4671736,1.86116,0.483287,0.610792566334,0.412983531072,0.245837626237,0.174207857009,0.124325554871
341.85621073,2.23834068126,25.6661010983,20.5812014112,5.919984,0.168127,0.496921,1.14746174561,0.820141515927,0.214134133741,0.151741818868,0.108292393649
341.579261424,2.34636956104,22.5295663563,19.3290580638,3.5726712,0.961399,0.369302,0.588675129367,0.348553347356,0.242672319889,0.171964826745,0.122724789056
341.079180679,1.61462206821,25.0002734444,21.5558354309,4.204284,1.31204,0.0,0.720530324792,0.449261781614,0.230873387002,0.163603751816,0.116757806294
338.372715752,1.85928596599,25.7326090426,20.9725603888,5.0532048,0.574906,0.238904,0.821169521298,0.198878756382,0.196397464829,0.139173087511,0.099322565727
338.963084496,1.92400900349,26.4565639196,21.2440071619,7.159824,0.542916,0.447931,0.321440706276,0.394940628711,0.228873527686,0.162186591997,0.115746432962
338.760242864,2.45840258466,26.369830377,21.2484768305,6.7590096,0.493047,0.464455,0.226652226366,0.27123428737,0.245636756726,0.174065514896,0.124223970692
338.64534044,1.59472355692,24.8657032702,21.0811352212,3.823428,0.969533,0.0450553,1.07340962286,0.6702199807,0.220891177279,0.156530060979,0.111709580839
339.050579331,1.7238946491,26.6796645834,22.0820055942,3.9003384,0.498986,0.0,0.567425148013,0.548960074656,0.222840257378,0.157911237134,0.112695273991
338.890404122,1.9088246677,20.1825873363,21.0856682606,3.4725264,3.02881,0.440762,0.90133877501,0.645986818695,0.225089559676,0.159505159671,0.113832796186
337.366568364,2.00152399135,26.6651367567,21.5023386424,5.0214696,0.486384,0.0,0.121592971286,0.273372630269,0.257076663051,0.18217217292,0.130009385737
